ckey,lat,long,alt
D10_20190202_211438_9653,31.56043,-95.54641,13
D10_20190202_211438_9653,31.55959,-95.54427,13
D10_20190202_211438_9653,31.55855,-95.54175,13
D10_20190202_211438_9653,31.55765,-95.53953,13
D10_20190202_211438_9653,31.55662,-95.53686,13
D10_20190202_211438_9653,31.55565,-95.53449,13
D10_20190202_211438_9653,31.55455,-95.53182,13
D10_20190202_211438_9653,31.55364,-95.52976,13
D10_20190202_211438_9653,31.55254,-95.52701,13
D10_20190202_211438_9653,31.55157,-95.52472,13
D10_20190202_211438_9653,31.5506,-95.52235,13
D10_20190202_211438_9653,31.54957,-95.51999,13
D10_20190202_211438_9653,31.54873,-95.51785,13
D10_20190202_211438_9653,31.54776,-95.51556,13
D10_20190202_211438_9653,31.54679,-95.51327,13
D10_20190202_211438_9653,31.54582,-95.51082,13
D10_20190202_211438_9653,31.54485,-95.50838,13
D10_20190202_211438_9653,31.54394,-95.50617,13
D10_20190202_211438_9653,31.54297,-95.50373,13
D10_20190202_211438_9653,31.54187,-95.50105,13
D10_20190202_211438_9653,31.54097,-95.49876,13
D10_20190202_211438_9653,31.53987,-95.49617,13
D10_20190202_211438_9653,31.53896,-95.49388,13
D10_20190202_211438_9653,31.53805,-95.49182,13
D10_20190202_211438_9653,31.53708,-95.48945,13
D10_20190202_211438_9653,31.53611,-95.48724,13
D10_20190202_211438_9653,31.53521,-95.48495,13
D10_20190202_211438_9653,31.53404,-95.48228,13
D10_20190202_211438_9653,31.53314,-95.47999,13
D10_20190202_211438_9653,31.53217,-95.4777,13
D10_20190202_211438_9653,31.53132,-95.47571,13
D10_20190202_211438_9653,31.53048,-95.47365,13
D10_20190202_211438_9653,31.52951,-95.47129,13
D10_20190202_211438_9653,31.52861,-95.469,13
D10_20190202_211438_9653,31.52757,-95.46648,13
D10_20190202_211438_9653,31.52673,-95.46442,13
D10_20190202_211438_9653,31.52582,-95.46213,13
D10_20190202_211438_9653,31.52485,-95.45961,13
